C.D.S.  -  SIMBAD4 rel 1.7  -  2021.02.27CET22:50:48

NGC  5139
---------

Number of objects : 7684

 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |      |      |      |      |      |               |    |    
116 |    755.86|   100|2007MNRAS.382.1353V|S              |2MASS J13253701-4733003            |RG*|13 25 37.0230931532 -47 33 00.477445846|     ~|14.2  |12.56 |     ~|     ~|~              |  15|   0
117 |    755.86|   100|2010ApJ...722.1373J|B              |2MASS J13253701-4733003            |RG*|13 25 37.0230931532 -47 33 00.477445846|     ~|14.2  |12.56 |     ~|     ~|~              |  15|   0
118 |    676.96|   100|2007MNRAS.382.1353V|S              |NGC 5139 542                       |*  |13 25 49.9575571754 -47 22 59.765719681|     ~|12.96 |12.92 |     ~|     ~|~              |  12|   0
119 |    578.11|   100|2000A&A...360..472V|B              |2MASS J13255120-4727018            |RG*|13 25 51.2069252397 -47 27 01.749658201|14.24 |13.15 |11.71 |     ~|     ~|~              |  26|   0
120 |    578.11|   100|2001A&A...373..159C|B              |2MASS J13255120-4727018            |RG*|13 25 51.2069252397 -47 27 01.749658201|14.24 |13.15 |11.71 |     ~|     ~|~              |  26|   0
121 |    578.11|   100|2007MNRAS.382.1353V|S              |2MASS J13255120-4727018            |RG*|13 25 51.2069252397 -47 27 01.749658201|14.24 |13.15 |11.71 |     ~|     ~|~              |  26|   0
122 |    578.11|   100|2010ApJ...722.1373J|B              |2MASS J13255120-4727018            |RG*|13 25 51.2069252397 -47 27 01.749658201|14.24 |13.15 |11.71 |     ~|     ~|~              |  26|   0
123 |    566.89|   100|2007MNRAS.382.1353V|S              |CD-46 8641                         |RG*|13 26 03.3316841430 -47 22 56.117211409|14.87 |13.21 |11.71 |     ~|     ~|~              |  16|   0
124 |    566.89|   100|2010ApJ...722.1373J|B              |CD-46 8641                         |RG*|13 26 03.3316841430 -47 22 56.117211409|14.87 |13.21 |11.71 |     ~|     ~|~              |  16|   0
125 |    844.26|    99|2000A&A...360..472V|B              |CD-47 8302                         |RG*|13 26 01.7435981232 -47 40 33.531614161|     ~|13.16 |11.77 |     ~|     ~|~              |  18|   0
126 |    844.26|   100|2007MNRAS.382.1353V|S              |CD-47 8302                         |RG*|13 26 01.7435981232 -47 40 33.531614161|     ~|13.16 |11.77 |     ~|     ~|~              |  18|   0
127 |    844.26|   100|2010ApJ...722.1373J|B              |CD-47 8302                         |RG*|13 26 01.7435981232 -47 40 33.531614161|     ~|13.16 |11.77 |     ~|     ~|~              |  18|   0
128 |    306.47|   100|2000A&A...360..472V|B              |2MASS J13261803-4730041            |RG*|13 26 18.0435474163 -47 30 04.263281448|     ~|13.05 |11.53 |     ~|     ~|~              |  12|   0
129 |    306.47|   100|2010ApJ...722.1373J|B              |2MASS J13261803-4730041            |RG*|13 26 18.0435474163 -47 30 04.263281448|     ~|13.05 |11.53 |     ~|     ~|~              |  12|   0
130 |    870.99|    99|2000A&A...360..472V|B              |2MASS J13264616-4714151            |RG*|13 26 46.1548889047 -47 14 15.189751782|     ~|13.232|11.800|     ~|     ~|~              |  32|   0
131 |    870.99|   100|2001A&A...373..159C|B              |2MASS J13264616-4714151            |RG*|13 26 46.1548889047 -47 14 15.189751782|     ~|13.232|11.800|     ~|     ~|~              |  32|   0
132 |    870.99|   100|2007MNRAS.382.1353V|S              |2MASS J13264616-4714151            |RG*|13 26 46.1548889047 -47 14 15.189751782|     ~|13.232|11.800|     ~|     ~|~              |  32|   0
133 |    870.99|   100|2010ApJ...722.1373J|B              |2MASS J13264616-4714151            |RG*|13 26 46.1548889047 -47 14 15.189751782|     ~|13.232|11.800|     ~|     ~|~              |  32|   0
134 |    526.03|   100|2000A&A...360..472V|B              |2MASS J13270960-4720514            |RG*|13 27 09.6099093343 -47 20 51.402432986|14.27 |12.99 |12.00 |     ~|     ~|~              |  41|   0
135 |    526.03|   100|2001A&A...373..159C|B              |2MASS J13270960-4720514            |RG*|13 27 09.6099093343 -47 20 51.402432986|14.27 |12.99 |12.00 |     ~|     ~|~              |  41|   0
136 |    526.03|   100|2007MNRAS.382.1353V|S              |2MASS J13270960-4720514            |RG*|13 27 09.6099093343 -47 20 51.402432986|14.27 |12.99 |12.00 |     ~|     ~|~              |  41|   0
