C.D.S.  -  SIMBAD4 rel 1.7  -  2021.02.27CET23:06:09

M  45
-----

Number of objects : 9580

 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |      |      |      |      |      |               |    |    
71  |  18685.53|     0|2010MNRAS.408..475H|B              |TYC 1805-1366-1                    |*  |03 27 49.4553472973 +26 59 15.848663094|     ~|11.34 |10.86 |     ~|     ~|~              |   1|   0
72  |  19609.72|     0|2010MNRAS.408..475H|B              |TYC 1805-1486-1                    |*  |03 26 39.4275876496 +27 03 22.602793039|     ~|11.18 |10.62 |     ~|     ~|~              |   1|   0
73  |  17457.53|     0|2010MNRAS.408..475H|B              |TYC 1806-551-1                     |*  |03 32 53.9304906179 +27 47 14.835693573|     ~|10.49 |10.07 |     ~|     ~|~              |   1|   0
74  |  16097.77|     0|2010MNRAS.408..475H|B              |TYC 1806-1741-1                    |*  |03 30 52.9617912866 +26 42 56.691934448|     ~|11.64 |11.26 |     ~|     ~|~              |   1|   0
75  |  15762.70|    96|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 6                |*  |03 28 48.0636002226 +25 34 33.076272133|     ~|     ~|     ~|     ~|14.75 |~              |   4|   0
76  |  15762.70|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 6                |*  |03 28 48.0636002226 +25 34 33.076272133|     ~|     ~|     ~|     ~|14.75 |~              |   4|   0
77  |  15762.70|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 6                |*  |03 28 48.0636002226 +25 34 33.076272133|     ~|     ~|     ~|     ~|14.75 |~              |   4|   0
78  |  17101.75|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 7                |*  |03 28 48.7658880681 +26 29 57.727466472|     ~|12.896|12.016|     ~|11.058|~              |   3|   0
79  |  15375.90|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 11               |*  |03 30 33.5197903590 +26 12 56.660703818|     ~|14.395|13.224|     ~|11.891|~              |   4|   0
80  |  15375.90|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 11               |*  |03 30 33.5197903590 +26 12 56.660703818|     ~|14.395|13.224|     ~|11.891|~              |   4|   0
81  |  15559.64|    98|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 13               |*  |03 30 37.4683772833 +26 20 45.869197243|     ~|     ~|     ~|     ~|15.73 |~              |   4|   0
82  |  15559.64|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 13               |*  |03 30 37.4683772833 +26 20 45.869197243|     ~|     ~|     ~|     ~|15.73 |~              |   4|   0
83  |  15559.64|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 13               |*  |03 30 37.4683772833 +26 20 45.869197243|     ~|     ~|     ~|     ~|15.73 |~              |   4|   0
84  |  14493.28|    99|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 15               |*  |03 31 14.6310991760 +25 58 51.949822039|     ~|16.855|15.341|     ~|13.196|~              |   5|   0
85  |  14493.28|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 15               |*  |03 31 14.6310991760 +25 58 51.949822039|     ~|16.855|15.341|     ~|13.196|~              |   5|   0
86  |  14493.28|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 15               |*  |03 31 14.6310991760 +25 58 51.949822039|     ~|16.855|15.341|     ~|13.196|~              |   5|   0
87  |  15263.05|    98|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 16               |*  |03 31 29.5800741789 +26 30 12.534483651|     ~|     ~|     ~|     ~|15.28 |~              |   5|   0
88  |  15263.05|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 16               |*  |03 31 29.5800741789 +26 30 12.534483651|     ~|     ~|     ~|     ~|15.28 |~              |   5|   0
89  |  15263.05|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 16               |*  |03 31 29.5800741789 +26 30 12.534483651|     ~|     ~|     ~|     ~|15.28 |~              |   5|   0
90  |  15166.76|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 18               |PM*|03 32 15.2924996730 +26 41 54.675826928|     ~|18.272|16.754|     ~|14.140|~              |   5|   0
91  |  15166.76|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 18               |PM*|03 32 15.2924996730 +26 41 54.675826928|     ~|18.272|16.754|     ~|14.140|~              |   5|   0
92  |  16124.42|    80|2012MNRAS.422.1495L|B              |Cl* Melotte 22 DH 24               |PM*|03 32 57.5609635020 +27 17 19.875731795|     ~|     ~|     ~|     ~|16.19 |~              |   6|   0
93  |  16124.42|    98|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 24               |PM*|03 32 57.5609635020 +27 17 19.875731795|     ~|     ~|     ~|     ~|16.19 |~              |   6|   0
94  |  16124.42|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 24               |PM*|03 32 57.5609635020 +27 17 19.875731795|     ~|     ~|     ~|     ~|16.19 |~              |   6|   0
95  |  16124.42|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 24               |PM*|03 32 57.5609635020 +27 17 19.875731795|     ~|     ~|     ~|     ~|16.19 |~              |   6|   0
96  |  13263.43|    98|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 25               |PM*|03 33 00.3711103613 +25 59 45.757726620|     ~|14.235|13.059|     ~|11.739|~              |   5|   0
97  |  13263.43|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 25               |PM*|03 33 00.3711103613 +25 59 45.757726620|     ~|14.235|13.059|     ~|11.739|~              |   5|   0
98  |  13263.43|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 DH 25               |PM*|03 33 00.3711103613 +25 59 45.757726620|     ~|14.235|13.059|     ~|11.739|~              |   5|   0
99  |  17774.39|     0|2010MNRAS.408..475H|B              |HAT 259-07394                      |*  |03 25 26.8488742288 +24 39 49.646108070|     ~|     ~|13.8  |     ~|     ~|~              |   1|   0
100 |  18781.98|     0|2010MNRAS.408..475H|B              |LP 356-15                          |PM*|03 24 12.8605279314 +23 46 19.060451058|     ~|13.39 |11.838|11.489|     ~|M2.5Ve         |  34|   0
101 |  19058.78|     0|2010MNRAS.408..475H|B              |2MASS J03235551+2339273            |TT*|03 23 55.5199216193 +23 39 27.360054165|     ~|     ~|13.1  |     ~|     ~|K4V            |   6|   0
102 |  13442.32|     0|2010MNRAS.408..475H|B              |BD+24 501                          |*  |03 30 42.0068047920 +24 30 27.923615698|     ~|10.46 |10.11 |     ~|     ~|A2             |   5|   0
103 |  13503.17|    97|2019PASP..131d4101G|B              |HD 21744                           |PM*|03 31 15.9519781587 +25 15 19.673415287| 8.450| 8.360| 8.130|     ~|     ~|A3             |  23|   1
104 |  13503.17|   100|2017A&A...601A..19G|B              |HD 21744                           |PM*|03 31 15.9519781587 +25 15 19.673415287| 8.450| 8.360| 8.130|     ~|     ~|A3             |  23|   1
105 |  13503.17|   100|2018A&A...616A..10G|B              |HD 21744                           |PM*|03 31 15.9519781587 +25 15 19.673415287| 8.450| 8.360| 8.130|     ~|     ~|A3             |  23|   1
106 |  16554.91|     0|2009A&A...498..949M|B              |BD+22 492                          |*  |03 27 39.4125508662 +22 53 52.146658573|     ~|11.48 |10.87 |     ~|     ~|~              |   8|   0
107 |  14308.46|   100|2007ApJS..172..663S|B              |V* V1224 Tau                       |Or*|03 29 38.3693557066 +24 30 37.867407755|     ~|13.037|12.160|     ~|11.111|K1             |  58|   0
108 |  14308.46|   100|2010MNRAS.408..475H|B              |V* V1224 Tau                       |Or*|03 29 38.3693557066 +24 30 37.867407755|     ~|13.037|12.160|     ~|11.111|K1             |  58|   0
109 |  14308.46|   100|2017A&A...601A..19G|B              |V* V1224 Tau                       |Or*|03 29 38.3693557066 +24 30 37.867407755|     ~|13.037|12.160|     ~|11.111|K1             |  58|   0
110 |  14308.46|   100|2018A&A...616A..10G|B              |V* V1224 Tau                       |Or*|03 29 38.3693557066 +24 30 37.867407755|     ~|13.037|12.160|     ~|11.111|K1             |  58|   0
111 |  12392.41|    98|2019PASP..131d4101G|B              |Cl* Melotte 22 PELS 109            |*  |03 32 00.4752293537 +23 46 29.375916453|     ~|15.162|13.832|     ~|12.257|~              |   9|   0
112 |  12392.41|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 PELS 109            |*  |03 32 00.4752293537 +23 46 29.375916453|     ~|15.162|13.832|     ~|12.257|~              |   9|   0
113 |  12392.41|   100|2018A&A...616A..10G|B              |Cl* Melotte 22 PELS 109            |*  |03 32 00.4752293537 +23 46 29.375916453|     ~|15.162|13.832|     ~|12.257|~              |   9|   0
114 |  15911.43|   100|2007ApJS..172..663S|B              |BD+23 455                          |*  |03 27 42.0658706264 +23 48 13.192541907|     ~|10.925|10.280|10.03 | 9.530|~              |  11|   0
115 |  15911.43|   100|2009A&A...498..949M|B              |BD+23 455                          |*  |03 27 42.0658706264 +23 48 13.192541907|     ~|10.925|10.280|10.03 | 9.530|~              |  11|   0
116 |  15911.43|   100|2010MNRAS.408..475H|B              |BD+23 455                          |*  |03 27 42.0658706264 +23 48 13.192541907|     ~|10.925|10.280|10.03 | 9.530|~              |  11|   0
117 |  16583.26|     0|2009A&A...498..949M|B              |Cl* Melotte 22 AK II-3             |PM*|03 27 26.2169210407 +23 03 09.894846612|     ~|12.35 |11.25 |     ~|     ~|~              |   4|   0
118 |  16583.26|     0|2010MNRAS.408..475H|B              |Cl* Melotte 22 AK II-3             |PM*|03 27 26.2169210407 +23 03 09.894846612|     ~|12.35 |11.25 |     ~|     ~|~              |   4|   0
119 |  11715.42|     0|2009A&A...498..949M|B              |Cl* Melotte 22 AK III-236          |PM*|03 32 59.3643268843 +24 46 01.310932919|     ~|     ~|12.0  |     ~|     ~|~              |   3|   0
120 |  15543.01|     0|2010MNRAS.408..475H|B              |TYC 1801-1402-1                    |*  |03 28 07.8450577553 +24 31 16.219434367|     ~|12.20 |10.57 |     ~|     ~|~              |   1|   0
121 |  18636.28|     0|2010MNRAS.408..475H|B              |TYC 1801-1591-1                    |*  |03 24 24.6107198079 +24 42 55.616456210|     ~|11.80 |11.19 |     ~|     ~|~              |   1|   0
122 |  16784.14|     0|2010MNRAS.408..475H|B              |TYC 1801-1748-1                    |*  |03 26 59.0046611282 +25 08 23.929381992|     ~|11.29 |10.72 |     ~|     ~|~              |   1|   0
123 |  14075.61|     0|2010MNRAS.408..475H|B              |TYC 1802-602-1                     |*  |03 30 29.3208696537 +25 13 13.330105684|     ~|11.80 |11.40 |     ~|     ~|~              |   1|   0
124 |  13442.75|     0|2010MNRAS.408..475H|B              |TYC 1802-878-1                     |*  |03 31 18.8008443393 +25 13 58.278872712|     ~|11.44 |11.21 |     ~|     ~|~              |   1|   0
125 |  13264.74|     0|2010MNRAS.408..475H|B              |FBS 0328+232                       |*  |03 31 13.1654212080 +23 22 59.080494204|     ~|     ~|     ~|     ~|     ~|M4/5           |   4|   0
126 |  15983.53|   100|2007ApJS..172..663S|B              |Cl* Melotte 22 DH 1                |*  |03 27 35.6183777181 +24 31 42.589549733|     ~|14.990|13.610|     ~|11.831|~              |   4|   0
127 |  15910.59|    93|2012MNRAS.422.1495L|B              |Cl* Melotte 22 DH 3                |PM*|03 27 54.2538632850 +24 56 11.312476587|     ~|     ~|     ~|     ~|14.34 |~              |   5|   0
128 |  15910.59|    96|2019PASP..131d4101G|B              |Cl* Melotte 22 DH 3                |PM*|03 27 54.2538632850 +24 56 11.312476587|     ~|     ~|     ~|     ~|14.34 |~              |   5|   0
